Volume;MaximumRainfallIntensity;Runoff;RunoffVolume;MaximumRunoffIntensity;P-0;HR-1;HR-2;HR-3;HR-4;HR-5;T-1;T-2;T-3;T-4;T-5;PB-1;PB-2;PB-3;PB-4;PB-5;VV-1;VV-2;VV-3;VV-4;VV-5
0.3;0.3;0;0;0;0.3;32;37;41;42;42;28.4;26.8;24.9;23.2;22.4;946;947;947;947;947;1.42;1.62;1.88;2.01;1.43
0.2;0.1;0;0;0;0.1;22;24;28;32;37;32.3;31.1;29.6;28.4;26.8;944;945;946;946;947;1.31;1.34;1.37;1.42;1.62
1.2;0.6;0;0;0;0.2;36;36;31;28;24;24.5;25;26.4;27.6;29.8;945;945;945;944;944;0.58;0.5;0.52;0.51;0.6
0.4;0.2;0;0;0;0.2;44;49;44;44;41;21.6;20.6;21.2;21.3;22.2;946;945;945;945;945;0.67;0.5;0.53;0.51;0.63
8.5;3.5;1;2.4;2.82;0.5;33;35;40;44;49;29.1;27.6;24.1;21.6;20.6;946;946;946;946;945;0.95;0.83;0.73;0.67;0.5
0.3;0.3;0;0;0;0.3;14;15;16;18;21;38.2;37.1;36.1;35.3;33.8;944;944;945;945;946;1.27;1.38;1.38;1.26;1.34
0.6;0.6;0;0;0;0.6;15;14;13;14;15;35.3;37.3;38.8;38.2;37.1;944;943;944;944;944;0.97;1.34;1.22;1.27;1.38
4.6;3.7;0;0;0;0.9;31;28;27;28;26;25;26.1;27.4;27.4;28.1;945;945;945;945;945;0.62;0.66;0.58;0.52;0.52
0.1;0.1;0;0;0;0.1;22;21;23;25;26;32.3;34.3;35.3;34.8;34.4;941;941;941;942;943;2.03;2.37;1.77;2.35;2.11
0.2;0.1;0;0;0;0.1;31;26;22;21;23;28.7;30.4;32.3;34.3;35.3;942;941;941;941;941;2.01;1.72;2.03;2.37;1.77
1.3;0.5;0;0;0;0.1;57;53;47;37;30;22.6;23.6;25.1;26.4;27.6;942;942;943;942;943;0.73;1.17;1.32;1.56;2.15
0.1;0.1;0;0;0;0.1;20;22;25;26;28;33;31.3;28.7;27.6;26.7;948;948;949;949;949;1.07;1.24;1.22;1.29;1.55
6.2;2.7;1;0.9;1.683580333;0.9;15;15;15;15;16;38.1;38.3;37.8;36.9;36;944;944;945;946;947;1.69;1.87;1.74;1.62;1.47
3;3;0;0;0;3;44;43;40;33;25;18.3;18.7;19.3;21;22.7;950;950;950;949;949;1.11;2.06;2.64;2.71;1.39
13;3.5;1;3.7;3;3;46;44;41;42;37;19.7;19.6;19.9;21.3;22.6;949;949;949;949;949;0.52;0.54;0.61;0.59;0.59
7;3.5;1;1.7;1.4219259;3;52;50;50;47;40;22.4;23;23.2;23.6;24.1;947;947;947;947;947;2.04;1.71;0.88;0.83;0.92
0.5;0.5;0;0;0;0.5;42;41;38;29;22;24.4;24.9;25.8;27.1;28.3;946;946;945;945;944;1.71;1.42;2.01;1.71;0.95
0.5;0.5;0;0;0;0.5;44;44;42;41;38;23.4;23.7;24.4;24.9;25.8;945;946;946;946;945;2.03;2.02;1.71;1.42;2.01
3;1.6;0;0;0;0.1;61;63;63;63;63;19;18.9;19.3;19.5;19.9;948;948;947;947;947;1.49;1.21;1.21;1.55;1.81
5.9;5.9;0;0;0;5.9;43;46;49;52;57;27.8;26.2;24.4;22.3;20.3;948;949;949;949;949;1.38;1.55;1.66;1.83;2.21
0.2;0.2;0;0;0;0.2;43;48;56;69;69;23.8;22;19.2;15.3;15.2;950;950;949;949;949;0.9;0.73;0.74;0.6;0.57
0.1;0.1;0;0;0;0.1;40;37;35;33;27;18.3;19.4;20.4;20.8;23;949;949;949;948;948;0.65;0.63;0.55;0.52;0.52
0.1;0.1;0;0;0;0.1;46;43;40;37;35;16.2;17;18.3;19.4;20.4;949;949;949;949;949;0.62;0.61;0.65;0.63;0.55
0.4;0.2;0;0;0;0.2;53;50;46;43;40;14.6;15;16.2;17;18.3;949;949;949;949;949;0.61;0.58;0.62;0.61;0.65
0.4;0.3;0;0;0;0.3;44;54;61;58;55;20;16.8;14.6;15;15.7;948;947;947;946;946;0.98;1.31;1.37;1.31;0.94
1.2;1.2;0;0;0;1.2;63;61;53;36;33;19.4;18.8;21.5;25.3;26.2;946;945;946;944;944;0.88;1.2;1.68;0.65;1.1
1.6;1;0;0;0;0.5;66;65;63;61;53;18.6;18.5;19.4;18.8;21.5;946;947;946;945;946;0.74;1.36;0.88;1.2;1.68
0.1;0.1;0;0;0;0.1;90;88;84;81;79;15.6;15.7;15.7;16.2;16.7;945;945;945;945;946;0.53;0.51;0.55;0.58;0.56
0.9;0.9;0;0;0;0.9;46;47;48;52;60;24.5;23.6;23.3;22.5;21.1;945;945;946;947;947;1.47;1.53;1.45;1.54;1.53
0.1;0.1;0;0;0;0.1;49;48;46;47;48;23.4;23.7;24.5;23.6;23.3;944;944;945;945;946;0.97;1.26;1.47;1.53;1.45
0.4;0.3;0;0;0;0.3;66;63;63;75;72;17.4;17.7;17.5;16.8;17.1;940;940;941;941;942;0.78;0.68;0.56;0.52;0.55
0.1;0.1;0;0;0;0.1;60;61;57;66;66;18.6;18.2;18.6;17.3;17.4;943;942;941;941;940;2.19;2.08;1.84;0.9;0.78
0.5;0.3;0;0;0;0.3;92;94;95;94;94;16.2;15.8;15.5;15.5;15.6;947;947;947;947;947;1.33;1.2;0.97;1.22;0.96
0.1;0.1;0;0;0;0.1;67;71;81;89;89;20.2;20;18.3;17;16.7;945;946;947;947;947;2;1.89;1.67;1.64;1.57
0.1;0.1;0;0;0;0.1;75;75;76;72;79;13.9;14.1;14.6;15.6;16.1;943;943;944;944;944;0.86;1.1;0.68;0.9;0.64
2.5;1.1;0;0;0;0.9;68;66;66;64;58;17.1;17.1;17.3;17.1;17.1;935;936;937;937;938;1.07;0.87;1.62;1.84;1.92
5.4;1.7;0;0;0;0.5;94;95;94;79;68;13.1;12.9;13.2;16.1;17.1;935;935;935;935;935;0.78;0.96;1.09;1.17;1.07
0.9;0.5;0;0;0;0.1;88;86;89;91;92;9.4;9.8;10;10;10.3;938;937;937;936;936;1.09;1.2;1.17;1.76;1.75
1.9;1.9;0;0;0;1.9;74;72;74;81;87;12.1;12.1;11.4;10.5;9.7;940;939;939;939;938;1.73;1.44;1.55;1.56;1.3
0.5;0.4;0;0;0;0.1;88;87;83;81;80;6.3;6.7;7.3;7.8;8.3;946;946;946;945;945;0.5;0.53;0.56;0.56;0.53
